< # , Separater , 9 >
< include , include , - >
< < , Operator , 16 >
< iostream , iostream , - >
< > , Operator , 18 >
< int , int , - >
< main , main , - >
< ( , Separater , 3 >
< ) , Separater , 4 >
< { , Separater , 7 >
< float , float , - >
< a , id , identitierTable >
< = , Operator , 20 >
< 1.2 , number , floatTable >
< ; , Separater , 1 >
< //注释 , Comment , - >
< while , while , - >
< ( , Separater , 3 >
< a , id , identitierTable >
< > , Operator , 18 >
< 0 , number , integerTable >
< ) , Separater , 4 >
< a , id , identitierTable >
< - , Operator , 11 >
< = , Operator , 20 >
< 1 , number , integerTable >
< ; , Separater , 1 >
< /*多行
注释*/ , Comments , - >
< return , return , - >
< 0 , number , integerTable >
< ; , Separater , 1 >
< } , Separater , 8 >
