< # , Separater , 9 >
< include , include , - >
< < , Operator , 16 >
< iostream , iostream , - >
< > , Operator , 18 >
< int , int , - >
< main , main , - >
< ( , Separater , 3 >
< ) , Separater , 4 >
< { , Separater , 7 >
< int , int , - >
< a58y , id , identitierTable >
< = , Operator , 20 >
< 10 , number , integerTable >
< ; , Separater , 1 >
< //定义变量a58y , Comment , - >
< cout , id , identitierTable >
< << , Operator , 23 >
< unexpected ' at line 4! , Error , - >
< SEU , id , identitierTable >
< unexpected ' at line 4! , Error , - >
< ; , Separater , 1 >
< Missing symbol of comment , Error , - >
